val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.299755,-4.2,0.29663,-0.001084,0.399069,18.2,0.401944,0.005488,0.310567,79.4,0.312317,0.030567,0.511758,472,0.202316,0.135478,62.4,24,2018-09-03T00:00:00.074+00:00,scs-bgb-413
0.29963,-5.2,0.296692,-0.001324,0.399131,18.6,0.401881,0.00563,0.310755,79.9,0.312505,0.030755,0.51182,476,0.203253,0.136609,62.4,24,2018-09-03T00:00:10.067+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399194,19,0.401944,0.005733,0.310692,79.7,0.312442,0.030692,0.51157,472.1,0.202503,0.135504,62.4,24,2018-09-03T00:00:20.074+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399131,18.6,0.401944,0.005622,0.310692,79.7,0.312442,0.030692,0.512008,471.4,0.201941,0.1353,62.4,24,2018-09-03T00:00:30.077+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399319,19.8,0.402006,0.00597,0.310567,79.4,0.31238,0.030567,0.511008,468.7,0.202128,0.134514,62.4,24,2018-09-03T00:00:40.068+00:00,scs-bgb-413
0.299692,-4.9,0.296692,-0.001261,0.399256,19.9,0.402006,0.006003,0.31063,79.6,0.31238,0.03063,0.510758,469.8,0.202628,0.134834,62.4,24,2018-09-03T00:00:50.090+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399194,19,0.401944,0.005733,0.310567,79.4,0.312317,0.030567,0.51157,473.1,0.202753,0.135789,62.4,24,2018-09-03T00:01:00.080+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399069,17.9,0.401881,0.0054,0.310567,79.4,0.31238,0.030567,0.51307,478.6,0.202816,0.13736,62.3,24,2018-09-03T00:01:10.067+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399256,19,0.401944,0.005747,0.31063,79.6,0.31238,0.03063,0.511383,470.7,0.202316,0.135103,62.4,24,2018-09-03T00:01:20.067+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,18.8,0.401944,0.005685,0.310942,80.4,0.312567,0.030942,0.511758,473.5,0.202691,0.135905,62.4,24,2018-09-03T00:01:30.079+00:00,scs-bgb-413
