val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.sht.hmd,val.sht.tmp,val.SO2.weV,val.SO2.cnc,val.SO2.aeV,val.SO2.weC,rec,tag
0.287317,46.8,0.272754,-0.005089,0.383881,56.8,0.385068,-0.062778,0.33363,553.5,0.327818,0.260383,28.9,26.4,0.30313,27.5,0.279379,-0.016054,2019-01-12T12:09:34Z,scs-bgx-501
0.288379,52.1,0.272754,-0.004026,0.390693,66.7,0.384943,-0.059017,0.33088,547.3,0.32788,0.257915,28.9,26.4,0.304442,34.8,0.278754,-0.013621,2019-01-12T12:09:44Z,scs-bgx-501
0.289129,56.9,0.272629,-0.003043,0.395569,74.4,0.384943,-0.056086,0.32938,544.2,0.327943,0.256697,29,26.4,0.30613,37.9,0.279129,-0.012606,2019-01-12T12:09:54Z,scs-bgx-501
0.290754,65,0.272629,-0.001418,0.405319,92.6,0.385006,-0.049164,0.325817,535.9,0.328005,0.253416,29.2,26.4,0.30838,44.7,0.279129,-0.010356,2019-01-12T12:10:04Z,scs-bgx-501
0.290629,64.4,0.272629,-0.001543,0.405694,97.8,0.385193,-0.047188,0.325567,532.5,0.327755,0.252038,29.4,26.4,0.309692,48.7,0.279129,-0.009043,2019-01-12T12:10:14Z,scs-bgx-501
0.288129,52,0.272629,-0.004043,0.392631,79,0.385318,-0.054324,0.33063,546.7,0.32788,0.257665,29.3,26.4,0.307567,43.3,0.278942,-0.010832,2019-01-12T12:10:24Z,scs-bgx-501
0.290692,64.1,0.272692,-0.001597,0.405631,100.4,0.385318,-0.046224,0.325005,531.8,0.327818,0.251758,29.5,26.4,0.308942,46.1,0.279192,-0.009905,2019-01-12T12:10:34Z,scs-bgx-501
0.291067,65.4,0.272754,-0.001338,0.406569,103.1,0.385381,-0.045199,0.324817,528.9,0.327693,0.250624,29.7,26.3,0.310817,48.1,0.279879,-0.009224,2019-01-12T12:10:44Z,scs-bgx-501
0.289192,56.1,0.272754,-0.003213,0.395756,86.9,0.385506,-0.051345,0.329568,547.3,0.328255,0.257908,29.7,26.3,0.309317,47.3,0.279192,-0.009494,2019-01-12T12:10:54Z,scs-bgx-501
0.289879,58.9,0.272817,-0.002643,0.398819,92.7,0.385568,-0.049121,0.327818,543.1,0.328193,0.256262,29.7,26.4,0.309192,47.8,0.279004,-0.009319,2019-01-12T12:11:04Z,scs-bgx-501
0.291254,65.2,0.272879,-0.001383,0.405631,106.7,0.385693,-0.043804,0.325005,530.8,0.327818,0.251375,29.8,26.3,0.310755,50.6,0.279379,-0.008392,2019-01-12T12:11:14Z,scs-bgx-501
0.289192,54.4,0.272942,-0.003562,0.394506,91.3,0.385818,-0.049655,0.330005,545.5,0.328005,0.25722,29.8,26.3,0.30963,45.9,0.279629,-0.009964,2019-01-12T12:11:24Z,scs-bgx-501
