val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.sht.hmd,val.sht.tmp,val.SO2.weV,val.SO2.cnc,val.SO2.aeV,val.SO2.weC,rec,tag
0.287567,20.4,0.275754,-0.010427,0.383506,205.3,0.391443,-0.006356,0.32838,416.3,0.317005,0.20605,40.4,26.3,0.295005,9.1,0.278254,-0.022129,2019-02-05T07:51:30Z,scs-bgx-501
0.287942,22.8,0.275692,-0.009936,0.384381,202.6,0.391318,-0.007354,0.327693,411.7,0.316755,0.204236,40.1,26.3,0.294942,9.3,0.278192,-0.02208,2019-02-05T07:51:40Z,scs-bgx-501
0.287817,23.3,0.275567,-0.009828,0.383318,195.8,0.391131,-0.00997,0.327693,409.6,0.316567,0.203392,39.9,26.3,0.293754,7.4,0.277879,-0.022708,2019-02-05T07:51:50Z,scs-bgx-501
0.288817,27.7,0.275629,-0.008944,0.388693,202.8,0.391006,-0.007277,0.32538,403.8,0.316567,0.201079,39.9,26.3,0.293754,9.4,0.277504,-0.022038,2019-02-05T07:52:00Z,scs-bgx-501
0.289192,30.7,0.275504,-0.008336,0.392381,209.4,0.391006,-0.004805,0.324505,405.1,0.31688,0.201612,39.9,26.3,0.294317,10.4,0.277629,-0.021699,2019-02-05T07:52:10Z,scs-bgx-501
0.289504,31.7,0.275567,-0.00814,0.394631,217.8,0.391193,-0.001609,0.323817,401.3,0.316692,0.20008,40,26.3,0.29513,13.9,0.277442,-0.020551,2019-02-05T07:52:20Z,scs-bgx-501
0.289629,31.7,0.275629,-0.008132,0.393881,219.3,0.391381,-0.001008,0.32413,404.9,0.316942,0.201518,40.1,26.3,0.295692,13.9,0.277754,-0.020547,2019-02-05T07:52:30Z,scs-bgx-501
0.289442,30.2,0.275692,-0.008436,0.394006,223.6,0.391506,0.000626,0.32438,404.1,0.316817,0.201205,40.1,26.3,0.296255,12.6,0.278317,-0.020991,2019-02-05T07:52:40Z,scs-bgx-501
0.290004,32.4,0.275754,-0.00799,0.396194,230.6,0.391693,0.003273,0.323692,403.8,0.316942,0.201081,40.2,26.3,0.296317,14.8,0.277942,-0.020258,2019-02-05T07:52:50Z,scs-bgx-501
0.290317,32.8,0.275879,-0.00791,0.396756,232.9,0.391756,0.004124,0.324192,412.2,0.317567,0.204396,40.2,26.3,0.29688,15.1,0.278192,-0.020143,2019-02-05T07:53:00Z,scs-bgx-501
0.291442,39,0.275817,-0.006669,0.401006,239.8,0.391881,0.006764,0.322505,407.9,0.317567,0.202708,40.4,26.3,0.298005,17.2,0.278442,-0.019465,2019-02-05T07:53:10Z,scs-bgx-501
0.289504,28.2,0.275942,-0.008839,0.391818,227.1,0.391881,0.00195,0.325817,415.5,0.317505,0.205739,40.3,26.3,0.297567,16.5,0.278317,-0.019679,2019-02-05T07:53:20Z,scs-bgx-501
0.290067,31,0.275942,-0.008276,0.393944,230.9,0.391943,0.003391,0.32513,418.8,0.317942,0.207022,40.3,26.3,0.296755,11.1,0.278879,-0.021497,2019-02-05T07:53:30Z,scs-bgx-501
0.290817,34.7,0.275942,-0.007526,0.396319,234.4,0.392006,0.004718,0.324192,416.4,0.317942,0.206085,40.4,26.3,0.29763,16.4,0.278379,-0.019728,2019-02-05T07:53:40Z,scs-bgx-501
0.289942,29.8,0.276004,-0.008522,0.393131,231.4,0.392006,0.003585,0.325942,421.6,0.317942,0.208138,40.3,26.4,0.297505,15.6,0.278442,-0.019999,2019-02-05T07:53:50Z,scs-bgx-501
0.289192,26.1,0.276004,-0.009272,0.388006,219.5,0.391881,-0.000946,0.327505,424.1,0.317817,0.209137,40.2,26.4,0.296942,13.5,0.278504,-0.020674,2019-02-05T07:54:00Z,scs-bgx-501
0.290192,31,0.276004,-0.008272,0.391693,221.6,0.391756,-0.000148,0.32638,419.9,0.317692,0.207448,40.2,26.4,0.29638,12.2,0.278442,-0.021124,2019-02-05T07:54:10Z,scs-bgx-501
