val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.298192,43.6,0.298505,0.003084,0.406381,20.1,0.424444,0.00462,0.302005,77,0.307317,0.060202,0.313817,127.4,0.275317,0.022649,76.5,3.9,2019-02-02T04:54:48Z,scs-bgx-431
0.297817,42,0.298567,0.002624,0.406506,21.6,0.424444,0.005185,0.30163,77.7,0.307442,0.060474,0.313567,126.3,0.275317,0.022399,76.4,3.9,2019-02-02T04:54:58Z,scs-bgx-431
0.29713,39.7,0.298567,0.001937,0.406444,23.3,0.424444,0.005755,0.300505,71.7,0.307192,0.058056,0.312755,122.3,0.275567,0.021453,76.4,3.9,2019-02-02T04:55:08Z,scs-bgx-431
0.296817,38.6,0.298567,0.001624,0.406256,23.6,0.424444,0.00587,0.300005,73.7,0.307442,0.058849,0.31213,120.2,0.275317,0.020961,76.4,3.9,2019-02-02T04:55:18Z,scs-bgx-431
0.296942,38.7,0.29863,0.001664,0.406506,24.4,0.424506,0.00615,0.299192,71.7,0.307442,0.058037,0.312192,120.5,0.275317,0.021024,76.4,3.9,2019-02-02T04:55:28Z,scs-bgx-431
0.29613,35.9,0.29863,0.000852,0.406944,27.8,0.424506,0.007357,0.29713,65.7,0.30738,0.055651,0.312192,119.3,0.275817,0.020758,76.4,3.9,2019-02-02T04:55:38Z,scs-bgx-431
0.295567,34.3,0.298567,0.000374,0.406694,28.2,0.424444,0.00749,0.296567,64.4,0.30738,0.055088,0.312755,121.4,0.275942,0.021254,76.3,3.9,2019-02-02T04:55:48Z,scs-bgx-431
0.295192,33.6,0.298442,0.000169,0.406256,27.3,0.424381,0.007188,0.296692,66.3,0.307505,0.05586,0.311817,118.2,0.275629,0.020483,76.3,3.9,2019-02-02T04:55:58Z,scs-bgx-431
0.295317,33.4,0.298567,0.000124,0.406194,27.3,0.424381,0.007181,0.296692,63.9,0.307317,0.05489,0.312005,117.7,0.276192,0.020371,76.4,3.9,2019-02-02T04:56:08Z,scs-bgx-431
0.295505,34.4,0.298505,0.000396,0.406569,27.6,0.424381,0.007281,0.296692,63.1,0.307255,0.054567,0.31238,120.3,0.275754,0.020979,76.3,3.9,2019-02-02T04:56:18Z,scs-bgx-431
0.295067,32.6,0.298567,-0.000126,0.406319,28.3,0.424381,0.007526,0.29688,65.9,0.307442,0.055724,0.31713,141,0.275504,0.025862,76.3,3.9,2019-02-02T04:56:28Z,scs-bgx-431
0.295067,32.6,0.298567,-0.000126,0.406131,27.9,0.424444,0.007395,0.297192,65.1,0.307317,0.05539,0.317192,141.7,0.275317,0.026024,76.3,3.9,2019-02-02T04:56:38Z,scs-bgx-431
0.295505,34.1,0.298567,0.000312,0.406569,28.1,0.424506,0.007477,0.297692,67.9,0.307442,0.056536,0.31538,133.9,0.275379,0.024178,76.3,3.9,2019-02-02T04:56:48Z,scs-bgx-431
0.295692,35,0.298505,0.000584,0.406819,27.8,0.424381,0.007366,0.29763,67,0.30738,0.056151,0.31338,124.1,0.275942,0.021879,76.3,3.9,2019-02-02T04:56:58Z,scs-bgx-431
0.295942,35.6,0.298567,0.000749,0.406631,27,0.424444,0.00707,0.299442,71.5,0.30738,0.057963,0.31263,122.3,0.275317,0.021461,76.3,3.9,2019-02-02T04:57:08Z,scs-bgx-431
0.296192,37,0.298442,0.001169,0.405944,23.6,0.424319,0.005884,0.300005,72.9,0.30738,0.058526,0.314255,127,0.276317,0.022554,76.3,3.9,2019-02-02T04:57:18Z,scs-bgx-431
0.297005,39.2,0.298567,0.001812,0.405631,21,0.424319,0.004966,0.303442,82.2,0.307442,0.062287,0.318255,145.6,0.275629,0.02692,76.3,3.9,2019-02-02T04:57:28Z,scs-bgx-431
0.297567,41.5,0.298505,0.002459,0.405631,19.6,0.424444,0.004448,0.305255,86.7,0.307442,0.064099,0.321755,159.6,0.276004,0.030221,76.4,3.9,2019-02-02T04:57:38Z,scs-bgx-431
0.298005,43.3,0.298442,0.002981,0.406069,19.6,0.424506,0.004447,0.30438,82.9,0.307317,0.062577,0.319942,152.5,0.275754,0.028541,76.4,3.9,2019-02-02T04:57:48Z,scs-bgx-431
0.297817,41.8,0.29863,0.002539,0.406069,20.6,0.424444,0.004803,0.301817,75,0.307192,0.059368,0.31638,139.6,0.274754,0.025511,76.4,3.9,2019-02-02T04:57:58Z,scs-bgx-431
0.297817,42,0.298567,0.002624,0.406319,21.1,0.424444,0.004998,0.302255,79.2,0.307442,0.061099,0.31513,134.2,0.274754,0.024261,76.4,3.9,2019-02-02T04:58:08Z,scs-bgx-431
0.297255,39.8,0.29863,0.001977,0.406381,23,0.424444,0.005665,0.301755,76.4,0.307317,0.059952,0.313817,127.8,0.275129,0.022749,76.3,3.9,2019-02-02T04:58:18Z,scs-bgx-431
0.29713,39.7,0.298567,0.001937,0.406319,23.1,0.424506,0.005687,0.30163,77.7,0.307442,0.060474,0.313505,124.2,0.276129,0.021904,76.3,3.9,2019-02-02T04:58:28Z,scs-bgx-431
0.296942,39.3,0.298505,0.001834,0.406194,22.9,0.424444,0.005615,0.30063,75.2,0.307442,0.059474,0.313067,123.3,0.275692,0.021699,76.2,3.9,2019-02-02T04:58:38Z,scs-bgx-431
0.29688,39.1,0.298505,0.001771,0.406256,23.2,0.424444,0.005733,0.300505,74.1,0.30738,0.059026,0.313255,123.3,0.276067,0.021687,76.3,3.9,2019-02-02T04:58:48Z,scs-bgx-431
0.297005,39.2,0.298567,0.001793,0.406194,23,0.424444,0.005662,0.300192,74.3,0.307442,0.059103,0.312942,122.6,0.275817,0.021518,76.3,4,2019-02-02T04:58:58Z,scs-bgx-431
0.297005,39.2,0.298567,0.001812,0.405881,22.1,0.424444,0.00533,0.300005,72.9,0.30738,0.058526,0.312505,121.1,0.275629,0.02117,76.3,3.9,2019-02-02T04:59:08Z,scs-bgx-431
0.297192,39.9,0.298567,0.001999,0.405694,21,0.424444,0.00495,0.301255,76.8,0.307442,0.060099,0.312692,121.7,0.275692,0.021324,76.3,3.9,2019-02-02T04:59:18Z,scs-bgx-431
0.29788,41.7,0.298692,0.002517,0.405881,20.1,0.424444,0.004643,0.301692,77.8,0.307442,0.060537,0.31288,122.3,0.275817,0.021445,76.4,3.9,2019-02-02T04:59:28Z,scs-bgx-431
0.297942,42.8,0.298505,0.002834,0.405819,19.1,0.424444,0.004278,0.302442,80.5,0.307505,0.06161,0.313317,124,0.275879,0.02185,76.4,3.9,2019-02-02T04:59:38Z,scs-bgx-431
0.298255,43.3,0.29863,0.002977,0.406006,19.2,0.424444,0.004328,0.302317,81,0.307567,0.061808,0.312692,121.3,0.275879,0.021225,76.4,3.9,2019-02-02T04:59:48Z,scs-bgx-431
0.29763,41,0.29863,0.002333,0.406256,21.8,0.424444,0.00523,0.302005,76.4,0.307255,0.059944,0.31313,123.1,0.275942,0.02164,76.4,4,2019-02-02T04:59:58Z,scs-bgx-431
0.29763,41,0.29863,0.002333,0.406569,22.5,0.424381,0.005485,0.305005,84.6,0.307317,0.063268,0.313317,124.3,0.275754,0.021925,76.3,4,2019-02-02T05:00:08Z,scs-bgx-431
0.298692,45.1,0.298567,0.003499,0.408194,24,0.424444,0.00602,0.309755,96.2,0.307317,0.067953,0.313567,125.6,0.275629,0.022233,76.2,3.9,2019-02-02T05:00:18Z,scs-bgx-431
0.29788,42.5,0.298505,0.002753,0.407506,24.1,0.424444,0.006067,0.304567,83.5,0.307317,0.06283,0.313817,126.6,0.275692,0.022458,76.2,4,2019-02-02T05:00:28Z,scs-bgx-431
0.29738,40.8,0.298505,0.002271,0.406444,22.1,0.424319,0.005339,0.303255,80.9,0.30738,0.061776,0.31388,126.4,0.275879,0.022412,76.2,3.9,2019-02-02T05:00:38Z,scs-bgx-431
0.29763,41.3,0.298567,0.002418,0.406256,21.4,0.424381,0.00509,0.302505,77.6,0.307255,0.060444,0.313317,123.7,0.276004,0.021795,76.2,4,2019-02-02T05:00:48Z,scs-bgx-431
0.29763,41.3,0.298567,0.002418,0.406131,20.9,0.424319,0.004907,0.30163,76.2,0.307317,0.059893,0.31338,122.8,0.276567,0.021565,76.2,4,2019-02-02T05:00:58Z,scs-bgx-431
0.29713,39.6,0.298567,0.001918,0.406069,22.2,0.424381,0.00537,0.299817,72.6,0.30738,0.058404,0.312442,121,0.275567,0.021148,76.2,4,2019-02-02T05:01:08Z,scs-bgx-431
0.296442,37.2,0.298567,0.001231,0.406381,24.9,0.424381,0.006342,0.298005,68.1,0.30738,0.056591,0.311192,116.2,0.275317,0.020028,76.2,4,2019-02-02T05:01:18Z,scs-bgx-431
0.29588,35.6,0.298505,0.000753,0.406444,26,0.424256,0.00673,0.297255,66.2,0.30738,0.055841,0.310942,114.3,0.275692,0.019583,76.2,4,2019-02-02T05:01:28Z,scs-bgx-431
0.295317,33.4,0.298567,0.000124,0.406319,27.6,0.424381,0.007306,0.297317,66.2,0.30738,0.055838,0.310942,113.9,0.275879,0.019475,76.2,3.9,2019-02-02T05:01:38Z,scs-bgx-431
0.294942,32.4,0.298505,-0.000184,0.406444,28.8,0.424381,0.007725,0.296817,63.5,0.307255,0.054756,0.311005,114.7,0.275629,0.019678,76.1,4,2019-02-02T05:01:48Z,scs-bgx-431
0.294754,31.8,0.298505,-0.000354,0.406631,29.8,0.424381,0.008058,0.296192,63.4,0.30738,0.054713,0.311005,115.1,0.275442,0.01977,76.1,3.9,2019-02-02T05:01:58Z,scs-bgx-431
0.294567,30.8,0.298567,-0.000644,0.406444,30.1,0.424381,0.008165,0.296005,63.9,0.307442,0.054915,0.311692,116.8,0.276004,0.02017,76.1,4,2019-02-02T05:02:08Z,scs-bgx-431
0.294692,31.8,0.298442,-0.000349,0.406569,29.5,0.424319,0.007957,0.296567,64.5,0.30738,0.055154,0.312067,118.8,0.275817,0.020643,76.1,4,2019-02-02T05:02:18Z,scs-bgx-431
0.29513,33,0.298505,3e-06,0.406569,28.7,0.424381,0.007685,0.297255,65.4,0.307317,0.055518,0.312442,119.7,0.276129,0.020855,76.1,4,2019-02-02T05:02:28Z,scs-bgx-431
0.295255,33.7,0.298442,0.000213,0.406694,28.7,0.424444,0.007675,0.297317,67.2,0.307442,0.056228,0.311442,116.6,0.275629,0.020115,76.1,4,2019-02-02T05:02:38Z,scs-bgx-431
0.295317,33.7,0.298505,0.000191,0.406256,27.3,0.424381,0.00718,0.297442,65.9,0.307317,0.055705,0.311567,116.9,0.275754,0.020175,76.1,4,2019-02-02T05:02:48Z,scs-bgx-431
