val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,val.SO2.weV,val.SO2.cnc,val.SO2.aeV,val.SO2.weC,rec,tag
0.284629,52.1,0.285379,-0.007554,0.402819,-15.7,0.400694,-0.004955,0.387943,-52.5,0.232316,0.034542,49.8,29.3,0.287942,61.4,0.29663,-0.007152,2019-01-03T09:26:03Z,scs-bgx-502
0.284817,52.4,0.285442,-0.007485,0.403069,-16.6,0.400631,-0.0053,0.387506,-53.2,0.232504,0.034378,49.9,29.3,0.287379,59.5,0.29663,-0.007714,2019-01-03T09:26:13Z,scs-bgx-502
0.284754,52.1,0.285442,-0.007547,0.403319,-14.3,0.400694,-0.004455,0.386131,-59.2,0.232504,0.033003,49.9,29.3,0.287317,59.7,0.296567,-0.00766,2019-01-03T09:26:23Z,scs-bgx-502
0.285317,54.6,0.285379,-0.006866,0.404506,-14.3,0.400631,-0.004443,0.385693,-59.6,0.232754,0.03293,50,29.3,0.285817,61.4,0.295505,-0.007163,2019-01-03T09:26:33Z,scs-bgx-502
0.285629,55.3,0.285442,-0.006672,0.405006,-10.6,0.400756,-0.003096,0.386568,-51.7,0.233379,0.034716,50.2,29.3,0.285817,58.6,0.295942,-0.007985,2019-01-03T09:26:43Z,scs-bgx-502
0.286317,57.7,0.285442,-0.005985,0.406256,-11.7,0.400631,-0.003512,0.386131,-50.9,0.233816,0.034917,50.7,29.3,0.284567,53.4,0.29613,-0.009588,2019-01-03T09:26:53Z,scs-bgx-502
0.286567,58.6,0.285442,-0.005735,0.407006,-7.4,0.400756,-0.001967,0.385881,-49.2,0.234254,0.035305,51.1,29.3,0.283254,46.3,0.296567,-0.011722,2019-01-03T09:27:03Z,scs-bgx-502
0.287067,60.4,0.285442,-0.005235,0.408069,-7.2,0.400694,-0.001896,0.387006,-34.2,0.235816,0.038708,51.5,29.3,0.282629,46.2,0.296255,-0.01176,2019-01-03T09:27:13Z,scs-bgx-502
0.286942,59.9,0.285442,-0.00536,0.408006,-5.6,0.400756,-0.001311,0.386818,-38.6,0.235254,0.0377,51.7,29.3,0.282817,44.5,0.29663,-0.012277,2019-01-03T09:27:23Z,scs-bgx-502
0.286754,59.3,0.285442,-0.005547,0.408006,-2.3,0.400881,-0.00012,0.387256,-38.7,0.234941,0.037682,52,29.3,0.283067,47.6,0.296255,-0.011322,2019-01-03T09:27:33Z,scs-bgx-502
0.286567,58.6,0.285442,-0.005735,0.407756,-3.9,0.400819,-0.000702,0.388006,-34.2,0.235129,0.038705,52.1,29.3,0.283629,51,0.296005,-0.01029,2019-01-03T09:27:43Z,scs-bgx-502
0.286504,58.4,0.285442,-0.005797,0.407694,-5.4,0.400756,-0.001227,0.388631,-30.7,0.235254,0.039513,52.3,29.3,0.284129,51.5,0.296192,-0.010142,2019-01-03T09:27:53Z,scs-bgx-502
0.286379,57.5,0.285504,-0.00604,0.407631,-4.9,0.400756,-0.001052,0.387818,-35.5,0.235066,0.038427,52.3,29.3,0.284129,51.9,0.29613,-0.010025,2019-01-03T09:28:03Z,scs-bgx-502
0.286754,59.3,0.285442,-0.005547,0.408194,-4.7,0.400756,-0.000965,0.388631,-22.7,0.236504,0.041335,52.5,29.3,0.283942,51.3,0.29613,-0.010213,2019-01-03T09:28:13Z,scs-bgx-502
0.286754,59.7,0.285379,-0.005429,0.408381,-4.4,0.400756,-0.000883,0.387881,-31.6,0.235629,0.039309,52.7,29.3,0.284129,50,0.296442,-0.010612,2019-01-03T09:28:23Z,scs-bgx-502
0.286567,59,0.285379,-0.005616,0.408069,-4.8,0.400756,-0.001011,0.388381,-30.2,0.235504,0.039627,52.7,29.3,0.283567,51.2,0.295942,-0.010235,2019-01-03T09:28:33Z,scs-bgx-502
0.286504,58.8,0.285379,-0.005679,0.408006,-6.2,0.400694,-0.001536,0.388818,-29.1,0.235379,0.039882,52.8,29.3,0.284067,50.9,0.296255,-0.010322,2019-01-03T09:28:43Z,scs-bgx-502
0.286442,58.6,0.285379,-0.005741,0.408194,-4.2,0.400756,-0.00078,0.389006,-32.3,0.234754,0.039159,52.9,29.3,0.283754,50.3,0.296192,-0.010517,2019-01-03T09:28:53Z,scs-bgx-502
0.286629,59.2,0.285379,-0.005554,0.408131,-6.2,0.400694,-0.001517,0.389068,-26.4,0.235629,0.040497,52.9,29.3,0.284067,50.2,0.29638,-0.010557,2019-01-03T09:29:03Z,scs-bgx-502
0.286692,59,0.285442,-0.00561,0.408006,-6.4,0.400694,-0.001589,0.389131,-24.1,0.235941,0.041015,53,29.3,0.284442,51.8,0.296317,-0.010065,2019-01-03T09:29:13Z,scs-bgx-502
0.286442,58.2,0.285442,-0.005854,0.407944,-6.1,0.400694,-0.0015,0.389506,-22.7,0.235754,0.041328,53,29.2,0.284379,54.4,0.29588,-0.009279,2019-01-03T09:29:23Z,scs-bgx-502
0.286504,58.8,0.285379,-0.005679,0.408069,-4.6,0.400756,-0.000958,0.389943,-22.9,0.235566,0.041281,53.1,29.3,0.284442,54.9,0.295817,-0.009125,2019-01-03T09:29:33Z,scs-bgx-502
0.286567,59,0.285379,-0.005616,0.407944,-5.1,0.400756,-0.001136,0.390756,-21.8,0.235191,0.041547,53.1,29.3,0.284692,53.8,0.29613,-0.009463,2019-01-03T09:29:43Z,scs-bgx-502
0.286567,58.6,0.285442,-0.005735,0.407944,-4.8,0.400756,-0.00103,0.391881,-13.6,0.235691,0.043401,53.1,29.3,0.284879,53.6,0.296255,-0.00951,2019-01-03T09:29:53Z,scs-bgx-502
0.286629,58.8,0.285442,-0.005672,0.407756,-5.5,0.400756,-0.00127,0.391818,-13.1,0.235816,0.04352,53.1,29.3,0.284942,53.8,0.296255,-0.009447,2019-01-03T09:30:03Z,scs-bgx-502
0.286379,57.5,0.285504,-0.00604,0.407694,-4.7,0.400756,-0.00099,0.390693,-25.6,0.234629,0.040664,53.1,29.3,0.284879,51.7,0.296567,-0.010097,2019-01-03T09:30:13Z,scs-bgx-502
0.286379,57.9,0.285442,-0.005922,0.407756,-6.3,0.400694,-0.001549,0.390506,-22.9,0.235191,0.041297,53.1,29.3,0.284692,53,0.296255,-0.009697,2019-01-03T09:30:23Z,scs-bgx-502
0.286254,57.9,0.285379,-0.005929,0.407569,-6.8,0.400694,-0.001736,0.390943,-17.8,0.235691,0.042463,53.1,29.3,0.284817,57.7,0.295567,-0.008281,2019-01-03T09:30:33Z,scs-bgx-502
0.286442,58.6,0.285379,-0.005741,0.407506,-8.9,0.400631,-0.002499,0.390006,-31.9,0.234129,0.039247,53.1,29.3,0.285129,57.2,0.295817,-0.008438,2019-01-03T09:30:43Z,scs-bgx-502
0.286442,58.1,0.285442,-0.00586,0.407506,-5.7,0.400756,-0.001335,0.390631,-25.5,0.234691,0.040693,53.1,29.3,0.284817,55.3,0.295942,-0.008985,2019-01-03T09:30:54Z,scs-bgx-502
