val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,val.SO2.weV,val.SO2.cnc,val.SO2.aeV,val.SO2.weC,rec,tag
0.286567,57.8,0.285567,-0.005971,0.408569,1.7,0.400944,0.001354,0.388881,-30.8,0.235066,0.039489,53.5,29.3,0.283817,47.8,0.29663,-0.011277,2019-01-03T05:22:23Z,scs-bgx-502
0.286567,57.8,0.285567,-0.005971,0.408569,0.3,0.400881,0.000838,0.389381,-25.4,0.235566,0.040718,53.6,29.3,0.284192,50.6,0.29638,-0.010432,2019-01-03T05:22:33Z,scs-bgx-502
0.286629,58,0.285567,-0.005909,0.408319,-1.9,0.400819,1.9e-05,0.389131,-30.5,0.234941,0.039557,53.7,29.3,0.284379,52.4,0.296192,-0.009892,2019-01-03T05:22:43Z,scs-bgx-502
0.286442,56.9,0.285629,-0.006215,0.408131,-3.1,0.400756,-0.000394,0.388756,-34.9,0.234504,0.038544,53.8,29.3,0.284067,51.3,0.296192,-0.010205,2019-01-03T05:22:53Z,scs-bgx-502
0.286379,57.5,0.285504,-0.00604,0.408444,0.2,0.400881,0.000792,0.390068,-22.8,0.235504,0.041315,53.8,29.3,0.284379,53.5,0.296005,-0.00954,2019-01-03T05:23:03Z,scs-bgx-502
0.286317,56.9,0.285567,-0.006221,0.408194,-0.1,0.400881,0.000701,0.390381,-19.8,0.235754,0.041992,53.9,29.3,0.284692,53.8,0.29613,-0.009463,2019-01-03T05:23:13Z,scs-bgx-502
0.286254,56.2,0.285629,-0.006402,0.408069,-1.3,0.400819,0.000245,0.391256,-20,0.235129,0.041955,53.9,29.3,0.284442,52.9,0.29613,-0.009713,2019-01-03T05:23:23Z,scs-bgx-502
0.286379,57.1,0.285567,-0.006164,0.408069,-3.2,0.400756,-0.000447,0.390756,-25.5,0.234754,0.040691,53.9,29.4,0.284567,52.9,0.296192,-0.009733,2019-01-03T05:23:33Z,scs-bgx-502
0.286254,56.6,0.285567,-0.006284,0.408069,-0.2,0.400881,0.000655,0.390381,-28.6,0.234379,0.039987,53.9,29.3,0.284754,53.2,0.296255,-0.009635,2019-01-03T05:23:43Z,scs-bgx-502
0.286317,56.9,0.285567,-0.006221,0.407881,-3.8,0.400756,-0.000644,0.390943,-19.8,0.235379,0.042007,54,29.3,0.285004,52.5,0.296505,-0.009855,2019-01-03T05:23:53Z,scs-bgx-502
0.286379,56.7,0.285629,-0.006277,0.407756,-1.1,0.400881,0.000316,0.390068,-28.4,0.234629,0.040039,54,29.3,0.285567,54.7,0.296442,-0.009175,2019-01-03T05:24:03Z,scs-bgx-502
0.286254,56.2,0.285629,-0.006402,0.407881,-0.4,0.400881,0.000573,0.390131,-34.5,0.233629,0.038643,54,29.3,0.285254,52.9,0.296567,-0.009722,2019-01-03T05:24:13Z,scs-bgx-502
0.286317,56.4,0.285629,-0.00634,0.407694,-3.9,0.400756,-0.000699,0.391068,-26.8,0.234191,0.040401,54,29.3,0.285004,51.3,0.296692,-0.010207,2019-01-03T05:24:23Z,scs-bgx-502
0.286317,56.4,0.285629,-0.00634,0.407569,-2.9,0.400819,-0.000308,0.391256,-26.8,0.234066,0.040406,54,29.3,0.285129,54.4,0.296255,-0.00926,2019-01-03T05:24:33Z,scs-bgx-502
0.286254,56.6,0.285567,-0.006284,0.407631,-4.2,0.400756,-0.000814,0.392193,-23.5,0.233941,0.041162,54,29.3,0.284817,53.8,0.296192,-0.009455,2019-01-03T05:24:43Z,scs-bgx-502
0.286192,56,0.285629,-0.006465,0.407444,-2.9,0.400819,-0.000328,0.392881,-19.7,0.234066,0.042031,54,29.3,0.284942,55,0.296067,-0.009095,2019-01-03T05:24:53Z,scs-bgx-502
0.286254,56.2,0.285629,-0.006402,0.407444,-3.1,0.400819,-0.00038,0.393006,-13.1,0.235004,0.043523,54,29.3,0.285192,53.9,0.29638,-0.009432,2019-01-03T05:25:03Z,scs-bgx-502
0.286317,56,0.285692,-0.006458,0.407631,-2.4,0.400819,-0.00014,0.392631,-23.9,0.233566,0.041052,54,29.3,0.285129,53.7,0.29638,-0.009495,2019-01-03T05:25:13Z,scs-bgx-502
0.286004,55.7,0.285567,-0.006534,0.407444,-1.3,0.400881,0.000268,0.392256,-27.6,0.233254,0.040222,54,29.3,0.285004,51.7,0.29663,-0.01009,2019-01-03T05:25:23Z,scs-bgx-502
0.286129,55.8,0.285629,-0.006527,0.407444,-2.8,0.400819,-0.000275,0.391443,-27.6,0.233816,0.040229,54,29.3,0.285379,52.6,0.296692,-0.009832,2019-01-03T05:25:33Z,scs-bgx-502
0.286067,55.5,0.285629,-0.00659,0.407506,-0.9,0.400881,0.000383,0.391943,-19,0.234816,0.042187,54,29.3,0.285817,53.6,0.296755,-0.009512,2019-01-03T05:25:43Z,scs-bgx-502
0.286129,55.8,0.285629,-0.006527,0.407381,-2.9,0.400819,-0.000337,0.391318,-28.9,0.233691,0.039922,54,29.3,0.285254,53.3,0.296505,-0.009605,2019-01-03T05:25:53Z,scs-bgx-502
0.286129,55.8,0.285629,-0.006527,0.407381,-1.5,0.400881,0.000179,0.392631,-21.1,0.234004,0.04169,54,29.3,0.285129,55.2,0.29613,-0.009025,2019-01-03T05:26:03Z,scs-bgx-502
0.286192,55.6,0.285692,-0.006583,0.407444,-1.2,0.400881,0.000294,0.393256,-20.8,0.233629,0.041768,54,29.3,0.285067,56.6,0.29588,-0.008618,2019-01-03T05:26:13Z,scs-bgx-502
0.286129,55.8,0.285629,-0.006527,0.407381,-1.5,0.400881,0.000179,0.393381,-22.7,0.233254,0.041347,54,29.3,0.284942,53.4,0.296317,-0.009565,2019-01-03T05:26:23Z,scs-bgx-502
0.286067,55.5,0.285629,-0.00659,0.407194,-3.2,0.400819,-0.000446,0.392131,-35.3,0.232129,0.038456,54,29.3,0.285442,53.5,0.296567,-0.009535,2019-01-03T05:26:33Z,scs-bgx-502
0.286067,55.5,0.285629,-0.00659,0.407256,-3.1,0.400819,-0.000383,0.391881,-34.4,0.232441,0.038662,54,29.3,0.285129,54.4,0.296255,-0.00926,2019-01-03T05:26:43Z,scs-bgx-502
0.286129,55.3,0.285692,-0.006651,0.407256,-4.2,0.400756,-0.000785,0.391881,-33.4,0.232754,0.038888,54,29.4,0.285317,55.7,0.29613,-0.008865,2019-01-03T05:26:53Z,scs-bgx-502
0.286067,55.1,0.285692,-0.006708,0.407256,-2.8,0.400819,-0.000278,0.393131,-24.6,0.233129,0.040914,54,29.3,0.285254,55.2,0.296192,-0.009017,2019-01-03T05:27:03Z,scs-bgx-502
0.286254,55.8,0.285692,-0.00652,0.407256,-3.3,0.400819,-0.000462,0.393756,-18.6,0.233629,0.042268,54,29.3,0.285129,54.1,0.296317,-0.009377,2019-01-03T05:27:13Z,scs-bgx-502
0.286192,55.6,0.285692,-0.006583,0.407256,-3.1,0.400819,-0.00041,0.393694,-20.5,0.233379,0.041841,54,29.3,0.285192,53.1,0.296505,-0.009667,2019-01-03T05:27:23Z,scs-bgx-502
0.286129,55.4,0.285692,-0.006645,0.407194,-4.6,0.400756,-0.000935,0.392943,-31,0.232254,0.039451,54,29.3,0.285192,52.7,0.296567,-0.009785,2019-01-03T05:27:33Z,scs-bgx-502
0.286067,55.1,0.285692,-0.006708,0.407131,-1.7,0.400881,0.000113,0.393569,-25.4,0.232691,0.040714,54,29.3,0.285067,55,0.29613,-0.009088,2019-01-03T05:27:43Z,scs-bgx-502
0.285942,54.7,0.285692,-0.006839,0.407006,-0.1,0.400944,0.000678,0.393819,-24.1,0.232879,0.041009,53.9,29.4,0.285567,55.4,0.296317,-0.008968,2019-01-03T05:27:53Z,scs-bgx-502
0.285879,54,0.285754,-0.007014,0.406569,-1,0.400944,0.000357,0.393694,-23.7,0.232879,0.041112,53.8,29.3,0.286192,57.6,0.296317,-0.008315,2019-01-03T05:28:03Z,scs-bgx-502
0.285504,53.1,0.285692,-0.007276,0.406006,-4.6,0.400819,-0.000936,0.392943,-30.8,0.232441,0.039493,53.7,29.4,0.286879,55.1,0.297067,-0.009067,2019-01-03T05:28:13Z,scs-bgx-502
0.285254,52.2,0.285692,-0.00752,0.405194,-7.8,0.400756,-0.00209,0.391756,-39,0.231816,0.037626,53.4,29.3,0.287442,62.1,0.296255,-0.006947,2019-01-03T05:28:23Z,scs-bgx-502
