datetime,PM2p5_min,PM2p5,PM2p5_max,PM10_min,PM10,PM10_max,NO2_min,NO2,NO2_max,tmp_min,tmp,tmp_max,tag
2019-01-14T10:15:00Z,2.9,5.3,12.1,11.5,34.4,95.7,21.2,22.4,23.9,21.9,21.9,22,  scs-bgx-501
2019-01-14T10:30:00Z,2.6,3.7,5.8,8.4,24.4,50.5,19.9,21.7,24.1,21.9,21.9,22,
2019-01-14T10:45:00Z,2.8,3.7,5.4,4.9,22.2,64,19.1,21.1,23.2,21.9,21.9,21.9,
2019-01-14T11:00:00Z,2.7,3.8,7.9,7.3,27.9,119.8,17.8,20.9,23.4,21.8,21.8,21.9,
2019-01-14T11:15:00Z,2.7,4,6.1,6.5,25.6,55.6,19.4,20.6,22.6,21.8,21.8,21.9,
2019-01-14T11:30:00Z,2.5,3.9,6.2,6.9,25.3,97.9,19.1,20.8,22.6,21.8,21.8,21.8,
2019-01-14T11:45:00Z,3,4.1,5.8,8,24.3,64.2,19.7,21.4,23.2,21.7,21.8,21.8,
2019-01-14T12:00:00Z,2.6,3.9,9.6,5.7,29,256.7,19.5,21.5,23.3,21.8,21.8,21.8,
2019-01-14T12:15:00Z,1.9,3.3,11.1,4.1,23,216.1,19.2,21,22.6,21.7,21.7,21.8,
2019-01-14T12:30:00Z,1.7,2.5,3.7,4,14.9,42.8,20,21.1,23.4,21.7,21.7,21.7,
2019-01-14T12:45:00Z,2.2,3.2,5.4,5.1,21.9,65.1,19.1,21,22.7,21.6,21.7,21.7,
2019-01-14T13:00:00Z,1.9,3.6,6.6,3.9,22.5,63.9,17.9,20.8,22.4,21.6,21.6,21.6,
2019-01-14T13:15:00Z,1.8,3.1,6,3.6,20.2,56.5,18.3,20.6,22.7,21.5,21.6,21.6,
2019-01-14T13:30:00Z,2.4,3.4,4.6,3.9,23.6,66.2,17.5,19.6,21.7,21.6,21.6,21.6,
2019-01-14T13:45:00Z,2.6,3.9,7.7,5.3,19.2,48,17.3,19.4,20.9,21.6,21.6,21.7,
2019-01-14T14:00:00Z,2.3,3.9,5.8,6.9,23.2,61.2,18.1,19.8,21.8,21.6,21.7,21.8,
2019-01-14T14:15:00Z,2.2,3.7,6.7,5.2,20.7,43.5,18.1,20.4,22.1,21.8,21.8,21.9,
2019-01-14T14:30:00Z,2.9,4.5,6,7.2,30,77.7,18.9,20.6,23.9,21.8,21.9,21.9,
2019-01-14T14:45:00Z,3.1,5.3,8.8,7.9,31.3,77.3,18.2,20.6,23,21.9,21.9,22,
2019-01-14T15:00:00Z,3.4,4.6,6.3,6.9,20.8,44.5,19,20.4,22,21.9,22,22,
2019-01-14T15:15:00Z,3.4,5.4,7.8,7.5,25.1,58.9,18.6,20.3,22,22,22,22.1,
2019-01-14T15:30:00Z,6,7.7,10.5,12.7,36.7,67.9,17.5,19.7,21.7,22,22.1,22.1,
2019-01-14T15:45:00Z,7.1,9.1,13,13.1,33.9,60,17,18.7,20.1,22.1,22.1,22.1,
2019-01-14T16:00:00Z,8.9,11.3,14.1,24.1,43.8,79.7,15.9,17.4,19.4,22.1,22.1,22.2,
2019-01-14T16:15:00Z,8,10.8,13.3,18.8,39.1,74.4,15.5,16.8,19.4,22.1,22.1,22.2,
2019-01-14T16:30:00Z,11.1,14.6,19.7,18.4,44.6,71.4,15.1,16.4,17.8,22.1,22.1,22.1,
2019-01-14T16:45:00Z,11.1,14.5,17.6,16.3,46.5,92.5,14,16.4,19,22.1,22.1,22.1,
2019-01-14T17:00:00Z,8,10.8,12.6,15.1,35.6,60,13.4,17.8,21.7,22.1,22.1,22.1,
2019-01-14T17:15:00Z,6.6,8.2,10.4,9.4,27.4,47.5,17.3,22.6,31.1,22.1,22.1,22.2,
2019-01-14T17:30:00Z,6.4,10.1,14.2,12.2,31.5,81.6,17.3,22.6,30.4,22.2,22.2,22.2,
2019-01-14T17:45:00Z,11.8,14.3,16.2,19.1,35.1,61.3,14.8,21.6,26.8,22.2,22.2,22.2,
2019-01-14T18:00:00Z,12.5,18.1,26,18,38.8,65,13.2,19.5,26.2,22.2,22.2,22.2,
2019-01-14T18:15:00Z,10.3,15.1,20.3,17.2,37.6,58.6,11.9,16.7,22,22.1,22.2,22.2,
2019-01-14T18:30:00Z,11,12.8,15.3,17.4,38.5,59.5,10.5,13.5,16.7,22.1,22.1,22.2,
2019-01-14T18:45:00Z,9.8,12.7,14.7,14.7,37.7,66.4,10.5,13,16.2,22,22.1,22.1,
2019-01-14T19:00:00Z,7.9,13.6,16.3,10,37.9,55.6,8.8,12,14.6,22,22.1,22.1,
2019-01-14T19:15:00Z,15.1,19.6,24.6,30.2,50.7,82.3,8.8,11.2,12.9,22,22,22.1,
2019-01-14T19:30:00Z,18.8,24.6,29.5,30.4,47.9,77.7,8.7,10.6,13.1,22,22,22,
2019-01-14T19:45:00Z,24.2,28.9,32.6,38.8,54.2,78.2,7.9,10.1,12.2,21.9,22,22,
2019-01-14T20:00:00Z,27.8,34.2,40.6,37,63.1,112.4,8.6,10,11.7,21.9,21.9,22,
2019-01-14T20:15:00Z,30.4,35,40.7,41.4,62.3,90.7,8.1,10,11.9,21.9,21.9,21.9,
2019-01-14T20:30:00Z,31.2,36.7,39.9,43.7,58.8,89.7,8,9.7,10.9,21.8,21.9,21.9,
2019-01-14T20:45:00Z,31.4,37.7,41.3,45.1,60.5,83.7,8.4,10.1,11.6,21.8,21.9,21.9,
2019-01-14T21:00:00Z,30.5,37.2,41.6,44.6,64.8,99.2,8.3,10.1,12.3,21.8,21.8,21.9,
2019-01-14T21:15:00Z,28,34.1,40.5,38.4,60,92.9,8.4,10.4,12.1,21.8,21.8,21.8,
2019-01-14T21:30:00Z,21.5,28.1,31.8,31.3,48.8,70.9,9.4,10.9,12.6,21.7,21.8,21.8,
2019-01-14T21:45:00Z,22,26.5,30.3,31.1,45.4,69.2,9.6,11.2,12.3,21.7,21.8,21.8,
2019-01-14T22:00:00Z,21.8,24.9,28.5,26.7,41.1,69.8,7.4,11.3,13.4,21.7,21.7,21.8,
2019-01-14T22:15:00Z,21.4,24.8,28.5,29.6,41.7,60.7,10,11.6,13.5,21.7,21.7,21.7,
2019-01-14T22:30:00Z,22.4,25.7,27.7,31.5,44.3,64.6,9.8,11.7,13.1,21.7,21.7,21.7,
2019-01-14T22:45:00Z,18.8,21.3,24.9,25.8,43.3,69,9.2,12,13.5,21.6,21.6,21.7,
2019-01-14T23:00:00Z,17.5,20.1,22.4,26.1,40.4,72.9,10.9,12.3,13.7,21.6,21.6,21.6,
2019-01-14T23:15:00Z,16.6,20,22.5,25.1,38.5,54.8,10.9,12.8,15,21.5,21.6,21.6,
2019-01-14T23:30:00Z,16.5,19.4,22.3,23.2,35.9,53.9,12,12.8,14.3,21.5,21.5,21.6,
2019-01-14T23:45:00Z,14.6,17.7,19.6,20.5,32.3,53.1,12,13.2,14.3,21.5,21.5,21.6,
2019-01-15T00:00:00Z,16.1,18.8,21.2,21.2,31.7,49.7,12.4,13.8,15.6,21.5,21.5,21.6,
2019-01-15T00:15:00Z,18.6,20.1,21.6,22.9,33.1,51.7,13.1,14.8,16.9,21.5,21.5,21.6,
2019-01-15T00:30:00Z,17.3,19.3,21.2,21.3,32.9,50.2,14.7,16.2,18.4,21.5,21.5,21.5,
2019-01-15T00:45:00Z,17.5,18.9,20.5,20.7,34.2,54.1,14.8,16.9,18.8,21.5,21.5,21.5,
2019-01-15T01:00:00Z,15.9,17.8,20.1,19.8,30.2,46.2,15.1,17.1,19,21.5,21.6,21.6,
2019-01-15T01:15:00Z,13.8,15.5,16.8,19.1,29.5,57.3,16.7,19,21.3,21.6,21.6,21.7,
2019-01-15T01:30:00Z,13.5,14.9,16.7,20.9,30.6,51.2,16.6,20.5,22.6,21.7,21.8,21.8,
2019-01-15T01:45:00Z,14.6,15.7,17.2,17.5,31.5,48.9,19.4,21.9,24,21.8,21.8,21.9,
2019-01-15T02:00:00Z,13.6,16.3,18.5,17.4,34.5,52.6,19.8,21.8,23.9,21.9,21.9,22,
2019-01-15T02:15:00Z,14.6,17.7,20,21.9,36,60.7,19.6,21.6,25,21.9,22,22,
2019-01-15T02:30:00Z,15.9,19.5,23.3,23.9,40.9,75.4,19.8,21.3,23.2,22,22,22.1,
2019-01-15T02:45:00Z,20,24.3,29.3,29.5,45,70.6,19.8,21.2,23.1,22,22.1,22.1,
2019-01-15T03:00:00Z,20.2,23.5,27.6,29.7,45.5,72.8,19.8,21.3,22.7,22.1,22.1,22.1,
2019-01-15T03:15:00Z,18.2,20.8,24.1,29.8,45.4,82.6,19.8,21.5,22.7,22.1,22.1,22.1,
2019-01-15T03:30:00Z,20.5,22.2,24.2,31.6,53.2,87.7,20.7,21.6,22.8,22.1,22.1,22.2,
2019-01-15T03:45:00Z,21.4,25.3,28.9,32.8,55.5,110.2,20.4,21.7,23.4,22.1,22.2,22.2,
2019-01-15T04:00:00Z,25,29.4,35.3,43.9,63.3,100.5,20.8,22,23.7,22.1,22.2,22.2,
2019-01-15T04:15:00Z,30.4,34.1,37.8,54.2,92.4,163,20.2,21.4,23.9,22.2,22.2,22.2,
2019-01-15T04:30:00Z,36.7,40,44.1,73.3,107.7,150.7,20.2,21.4,22.6,22.2,22.2,22.2,
2019-01-15T04:45:00Z,40.9,47.3,53.5,90.5,138.2,196.9,20.2,21.7,23.6,22.2,22.2,22.3,
2019-01-15T05:00:00Z,43.4,51.7,57.5,111.3,163.7,237.1,19.9,21.7,23.3,22.2,22.2,22.3,
2019-01-15T05:15:00Z,40.9,45.5,49.9,92.6,153,228.6,19.6,21.4,22.8,22.2,22.2,22.3,
2019-01-15T05:30:00Z,10.5,27,46.4,22.3,91.1,186.1,19,21.2,23.4,22.2,22.2,22.2,
2019-01-15T05:45:00Z,11.1,16.9,30,25.2,73.9,145.8,19.2,21.2,23.4,22.1,22.2,22.2,
2019-01-15T06:00:00Z,12.7,16,19.8,29.3,61,112.5,19,21,23.3,22.1,22.1,22.2,
2019-01-15T06:15:00Z,17.6,20.5,23.3,43.7,73.7,113.1,19.4,21,22.3,22,22.1,22.1,
2019-01-15T06:30:00Z,8.8,18.5,24.1,31,64.9,105.6,18.5,21,22.9,22,22,22.1,
2019-01-15T06:45:00Z,4.6,6.7,9.9,9.5,30.2,72.4,19.2,21.3,23.2,22,22,22,
2019-01-15T07:00:00Z,4.7,6.2,11.4,10.1,24.8,74.1,19.2,21.6,23.2,21.9,22,22,
2019-01-15T07:15:00Z,4.5,5.7,6.9,9.4,19.7,55.3,20.1,22.2,23.6,21.9,21.9,21.9,
2019-01-15T07:30:00Z,4.6,5.6,7.1,7.3,21.3,48.9,20.1,22.3,24.5,21.8,21.8,21.9,
2019-01-15T07:45:00Z,3.2,4.7,6.6,7.1,21.2,62.8,21,22.3,23.8,21.8,21.8,21.9,
