val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.H2S.weV,val.H2S.cnc,val.H2S.aeV,val.H2S.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,val.SO2.weV,val.SO2.cnc,val.SO2.aeV,val.SO2.weC,rec,tag
0.315942,25.4,0.30988,0.003538,0.215941,22.7,0.284317,0.001018,0.34913,515.9,0.257191,0.104179,51.5,21.1,0.267254,6.2,0.267629,-0.006305,2018-12-11T07:47:51Z,scs-be2-2
0.315942,26.6,0.309755,0.003765,0.216441,22.4,0.283192,0.000503,0.350255,524.9,0.258254,0.106331,51.5,21.1,0.267379,12.6,0.266317,-0.004037,2018-12-11T07:48:01Z,scs-be2-2
0.31613,27.0,0.309817,0.003839,0.216566,22.9,0.283942,0.001305,0.35063,527.2,0.258441,0.106887,51.5,21.1,0.267004,7.0,0.267317,-0.006045,2018-12-11T07:48:11Z,scs-be2-2
0.316442,28.6,0.309817,0.004151,0.216191,21.6,0.282317,-0.000537,0.35113,528.1,0.258129,0.107085,51.5,21.1,0.266942,9.4,0.266754,-0.005189,2018-12-11T07:48:21Z,scs-be2-2
0.316192,27.3,0.309817,0.003901,0.216253,22.2,0.283129,0.000259,0.351255,527.1,0.257754,0.106848,51.5,21.1,0.266942,2.2,0.268317,-0.00774,2018-12-11T07:48:31Z,scs-be2-2
0.315567,24.1,0.309817,0.003276,0.216378,22.8,0.284004,0.001174,0.35038,524.9,0.258129,0.106335,51.5,21.1,0.267129,8.5,0.267067,-0.005512,2018-12-11T07:48:41Z,scs-be2-2
0.31563,25.0,0.309755,0.003452,0.216566,24.4,0.286254,0.003392,0.350068,521.1,0.257504,0.105419,51.6,21.1,0.267192,3.2,0.268254,-0.007388,2018-12-11T07:48:51Z,scs-be2-2
0.316067,26.1,0.30988,0.003663,0.216316,24.0,0.286004,0.002917,0.350693,524.7,0.257754,0.106285,51.5,21.1,0.266504,9.3,0.266504,-0.005218,2018-12-11T07:49:01Z,scs-be2-2
0.316067,26.7,0.309817,0.003776,0.216003,23.8,0.286004,0.002604,0.350818,525.2,0.257754,0.10641,51.5,21.1,0.267004,2.7,0.268254,-0.007576,2018-12-11T07:49:11Z,scs-be2-2
0.316005,26.9,0.309755,0.003827,0.216128,23.5,0.285379,0.002165,0.351193,526.5,0.257691,0.106725,51.6,21.1,0.267192,5.8,0.267692,-0.00647,2018-12-11T07:49:21Z,scs-be2-2
0.316567,29.9,0.309755,0.00439,0.216566,24.5,0.286504,0.003618,0.35063,521.9,0.257129,0.105619,51.5,21.1,0.266692,9.0,0.266692,-0.005337,2018-12-11T07:49:31Z,scs-be2-2
0.316255,26.5,0.309942,0.003737,0.216128,26.0,0.289317,0.00572,0.350818,523.2,0.257254,0.105927,51.7,21.1,0.266504,1.0,0.268317,-0.008178,2018-12-11T07:49:41Z,scs-be2-2
0.316067,26.1,0.30988,0.003663,0.215816,25.9,0.289504,0.005576,0.352443,533.0,0.258004,0.108277,51.8,21.1,0.267004,4.1,0.267942,-0.007066,2018-12-11T07:49:51Z,scs-be2-2
0.315942,25.4,0.30988,0.003538,0.216191,24.9,0.287442,0.004089,0.352005,532.0,0.258191,0.10802,51.7,21.1,0.267192,9.8,0.266817,-0.005041,2018-12-11T07:50:01Z,scs-be2-2
0.315692,24.1,0.30988,0.003288,0.216066,23.4,0.285192,0.001933,0.351818,531.2,0.258191,0.107833,51.7,21.1,0.267504,0.0,0.269129,-0.008505,2018-12-11T07:50:11Z,scs-be2-2
0.315442,24.0,0.309755,0.003265,0.216378,22.0,0.282629,-6.8e-05,0.350443,523.9,0.257816,0.106096,51.5,21.1,0.267754,-2.1,0.269754,-0.009275,2018-12-11T07:50:21Z,scs-be2-2
0.315942,26.0,0.309817,0.003651,0.216878,22.0,0.282192,3.7e-05,0.350318,520.6,0.257129,0.105306,51.5,21.1,0.267067,9.7,0.266754,-0.005064,2018-12-11T07:50:31Z,scs-be2-2
0.315255,23.0,0.309755,0.003075,0.216753,21.7,0.281942,-0.000371,0.34963,516.3,0.256754,0.104279,51.4,21.2,0.267192,11.8,0.266379,-0.004337,2018-12-11T07:50:41Z,scs-be2-2
0.315692,25.3,0.309755,0.003515,0.216191,21.5,0.282067,-0.000763,0.350693,523.9,0.257566,0.106104,51.5,21.1,0.266817,4.7,0.267692,-0.006845,2018-12-11T07:50:51Z,scs-be2-2
0.31638,28.3,0.309817,0.004089,0.216753,22.1,0.282379,8.2e-05,0.351818,529.2,0.257691,0.10735,51.4,21.1,0.267192,2.9,0.268317,-0.00749,2018-12-11T07:51:01Z,scs-be2-2
0.315317,22.2,0.30988,0.002911,0.216753,20.9,0.280629,-0.001553,0.350818,525.6,0.257816,0.106499,51.4,21.2,0.267754,10.8,0.266942,-0.004694,2018-12-11T07:51:11Z,scs-be2-2
0.315817,26.5,0.309692,0.003753,0.216753,20.7,0.280254,-0.001837,0.35113,527.0,0.257879,0.106843,51.4,21.1,0.267442,14.0,0.266067,-0.003566,2018-12-11T07:51:21Z,scs-be2-2
0.316005,27.5,0.309692,0.00394,0.216691,22.3,0.282817,0.000414,0.352193,530.5,0.257629,0.107664,51.5,21.1,0.267129,7.9,0.267192,-0.005716,2018-12-11T07:51:31Z,scs-be2-2
0.315817,25.4,0.309817,0.003526,0.216878,22.5,0.283004,0.000771,0.35338,535.4,0.257629,0.108852,51.5,21.1,0.267067,10.9,0.266504,-0.004656,2018-12-11T07:51:41Z,scs-be2-2
0.315692,24.7,0.309817,0.003401,0.216691,21.4,0.281379,-0.000884,0.352693,532.8,0.257691,0.108225,51.4,21.1,0.267504,8.1,0.267379,-0.005647,2018-12-11T07:51:51Z,scs-be2-2
0.315755,25.6,0.309755,0.003575,0.216253,20.6,0.280629,-0.002053,0.35288,534.7,0.257941,0.108683,51.4,21.2,0.267317,14.4,0.265879,-0.003394,2018-12-11T07:52:01Z,scs-be2-2
0.31588,25.7,0.309817,0.003589,0.216691,21.2,0.281067,-0.001166,0.351818,526.1,0.256941,0.106625,51.5,21.1,0.267254,7.4,0.267379,-0.005897,2018-12-11T07:52:11Z,scs-be2-2
0.316005,26.9,0.309755,0.003827,0.216753,20.9,0.280629,-0.001498,0.35163,522.8,0.256316,0.105834,51.4,21.1,0.267192,4.6,0.267942,-0.006878,2018-12-11T07:52:21Z,scs-be2-2
0.316005,26.3,0.309817,0.003712,0.216941,21.6,0.281442,-0.000633,0.352068,526.8,0.256816,0.106777,51.5,21.2,0.266942,0.4,0.268692,-0.00837,2018-12-11T07:52:31Z,scs-be2-2
0.315755,25.0,0.309817,0.003462,0.217191,22.6,0.282754,0.000799,0.351693,524.4,0.256629,0.10622,51.5,21.2,0.267004,6.4,0.267442,-0.006262,2018-12-11T07:52:41Z,scs-be2-2
